,ID,Name,NetID,Email Address,Section
55,7256989,"Payne, Douglas",DXP49123,DOUGLAS.PAYNE@BAYER.EDU,1
56,7378241,"Patterson, Nicole Jennifer",NJP08545,NICOLE.PATTERSON@BAYER.EDU,3
57,2003671,"Patrick, Mark Jennifer",MJP68159,MARK.PATRICK@BAYER.EDU,1
58,3091027,"Parker, Timothy",TXP55047,TIMOTHY.PARKER@BAYER.EDU,1
59,4682582,"Ortega, Tiffany Maria",TMO55387,TIFFANY.ORTEGA@BAYER.EDU,1
60,2575196,"Odom, John",JXO31236,JOHN.ODOM@BAYER.EDU,2
61,8786799,"Nguyen, Donna",DXN21936,DONNA.NGUYEN@BAYER.EDU,1
62,3949000,"Nguyen, Cindy",CXN83965,CINDY.NGUYEN@BAYER.EDU,2
63,4167411,"Myers, Brian Gary",BGM86325,BRIAN.MYERS@BAYER.EDU,2
64,1983467,"Moore, Kimberly Andrea",KAM90876,KIMBERLY.MOORE@BAYER.EDU,1
65,2489309,"Miranda, Brett",BXM17365,BRETT.MIRANDA@BAYER.EDU,3
66,8794639,"Miller, Stephen Elizabeth",SEM28474,STEPHEN.MILLER@BAYER.EDU,2
67,6278235,"Miller, Jorge",JXM83777,JORGE.MILLER@BAYER.EDU,1
68,2260221,"Miller, Anthony",AXM26865,ANTHONY.MILLER@BAYER.EDU,3
69,2858583,"Mccall, Kimberly",KXM62826,KIMBERLY.MCCALL@BAYER.EDU,3
70,7485180,"Martin, Ashley Sara",ASM59771,ASHLEY.MARTIN@BAYER.EDU,2
71,9707878,"Marshall, Shawn Grace",SGM04582,SHAWN.MARSHALL@BAYER.EDU,1
72,3795891,"Mann, Nicole",NXM87406,NICOLE.MANN@BAYER.EDU,1
73,9650939,"Lopez, Mark Steven",MSL77920,MARK.LOPEZ@BAYER.EDU,1
74,7308367,"Lester, Aaron",AXL60952,AARON.LESTER@BAYER.EDU,2
75,9177842,"Leon, Tammy Gregory",TGL37922,TAMMY.LEON@BAYER.EDU,3
76,7761687,"Lee, Michelle",MXL67812,MICHELLE.LEE@BAYER.EDU,1
77,9804556,"Lee, Danielle Stephanie",DSL24347,DANIELLE.LEE@BAYER.EDU,3
78,2345678,"Lambert, Malaika",MXL12345,MALAIKA.LAMBERT@BAYER.EDU,2
79,5400422,"King, Paige Mary",PMK49230,PAIGE.KING@BAYER.EDU,1
80,3456789,"Joyce, Traci",TXJ12345,TRACI.JOYCE@BAYER.EDU,1
81,4587323,"Jones, Sarah",SXJ49423,SARAH.JONES@BAYER.EDU,3
82,8373362,"Jones, Michele",MXJ54725,MICHELE.JONES@BAYER.EDU,1
83,4288557,"Jones, Daniel Carolyn",DCJ14616,DANIEL.JONES@BAYER.EDU,1
84,9184901,"Johnston, Robert Stephanie",RSJ94156,ROBERT.JOHNSTON@BAYER.EDU,3
85,9756042,"Johnson, Tara",TXJ17476,TARA.JOHNSON@BAYER.EDU,2
86,8406082,"Johnson, Stacy Michael",SMJ00936,STACY.JOHNSON@BAYER.EDU,2
87,5227994,"Johnson, Paul Mark",PMJ37756,PAUL.JOHNSON@BAYER.EDU,3
88,7566895,"Johnson, Jamie",JXJ82678,JAMIE.JOHNSON@BAYER.EDU,2
89,3774708,"Johnson, Dylan",DXJ78877,DYLAN.JOHNSON@BAYER.EDU,3
90,8902246,"James, Margaret Juan",MJJ83180,MARGARET.JAMES@BAYER.EDU,2
91,7014488,"Hunt, Brett Caroline",BCH39598,BRETT.HUNT@BAYER.EDU,1
92,2886234,"Houston, Emily Donna",EDH14938,EMILY.HOUSTON@BAYER.EDU,1
93,6637567,"Holt, Crystal Heather",CHH70562,CRYSTAL.HOLT@BAYER.EDU,2
94,1735079,"Hernandez, Taylor Harold",THH29195,TAYLOR.HERNANDEZ@BAYER.EDU,1
95,6427493,"Hart, Colleen",CXH80084,COLLEEN.HART@BAYER.EDU,1
96,8776566,"Harris, John Lisa",JLH15029,JOHN.HARRIS@BAYER.EDU,1
97,2332731,"Guzman, Cynthia",CXG21963,CYNTHIA.GUZMAN@BAYER.EDU,1
98,1829060,"Greer, April Blake",ABG77872,APRIL.GREER@BAYER.EDU,3
99,8164846,"Graham, Benjamin James",BJG14618,BENJAMIN.GRAHAM@BAYER.EDU,2
100,1830837,"Gordon, Lori",LXG35058,LORI.GORDON@BAYER.EDU,2
101,5780203,"Good, Sherry Mark",SMG03171,SHERRY.GOOD@BAYER.EDU,2
102,1289689,"Gonzalez, Matthew Justin",MJG41514,MATTHEW.GONZALEZ@BAYER.EDU,1
103,1590887,"Glover, Heidi",HXG56446,HEIDI.GLOVER@BAYER.EDU,2
104,8065342,"Garza, Jessica Allison",JAG55224,JESSICA.GARZA@BAYER.EDU,1
105,9006764,"Garcia, Desiree Stephanie",DSG54218,DESIREE.GARCIA@BAYER.EDU,2
106,5630129,"Friedman, Linda Lance",LLF55044,LINDA.FRIEDMAN@BAYER.EDU,3
107,3419285,"Foster, Tommy",TXF41578,TOMMY.FOSTER@BAYER.EDU,1
108,2574682,"Foster, Ashlee",AXF16145,ASHLEE.FOSTER@BAYER.EDU,3
109,4567890,"Flower, John Gregg",JGF12345,JOHN.G.2.FLOWER@BAYER.EDU,3
110,9103057,"Flores, Russell Chad",RCF61653,RUSSELL.FLORES@BAYER.EDU,2
111,7831187,"Flores, Brandon Chad",BCF26283,BRANDON.FLORES@BAYER.EDU,2
112,1866225,"Faulkner, Katelyn",KXF45205,KATELYN.FAULKNER@BAYER.EDU,1
113,9006041,"Evans, Patricia",PXE53402,PATRICIA.EVANS@BAYER.EDU,3
114,6409860,"Elliott, Richard Gwendolyn",RGE65208,RICHARD.ELLIOTT@BAYER.EDU,1
115,4325951,"Edwards, Timothy Caroline",TCE09928,TIMOTHY.EDWARDS@BAYER.EDU,2
116,1783442,"Edwards, Nicole",NXE44872,NICOLE.EDWARDS@BAYER.EDU,3
117,7648182,"Dunn, Amy",AXD67070,AMY.DUNN@BAYER.EDU,3
118,6253243,"Dunlap, Angela",AXD31221,ANGELA.DUNLAP@BAYER.EDU,2
119,5461012,"Duffy, Erin",EXD72538,ERIN.DUFFY@BAYER.EDU,1
120,5824785,"Dudley, Emily Emily",EED42850,EMILY.DUDLEY@BAYER.EDU,1
121,2968584,"Douglas, Robert",RXD29805,ROBERT.DOUGLAS@BAYER.EDU,2
122,8441601,"Dennis, Rachel",RXD55884,RACHEL.DENNIS@BAYER.EDU,3
123,3454432,"Dennis, Cameron",CXD92501,CAMERON.DENNIS@BAYER.EDU,1
124,6611132,"Delgado, Desiree Jennifer",DJD31335,DESIREE.DELGADO@BAYER.EDU,2
125,1142484,"Davidson, Luke",LXD16906,LUKE.DAVIDSON@BAYER.EDU,3
126,3932938,"Daniels, Amber",AXD11293,AMBER.DANIELS@BAYER.EDU,2
127,7474490,"Daniel, William Austin",WAD63934,WILLIAM.DANIEL@BAYER.EDU,2
128,4570025,"Curry, Alec",AXC64717,ALEC.CURRY@BAYER.EDU,2
129,9204701,"Cooper, Adam Melvin",AMC28428,ADAM.COOPER@BAYER.EDU,2
130,6503525,"Clark, Jill Gregg",JGC21028,JILL.CLARK@BAYER.EDU,3
131,7240958,"Cervantes, Scott",SXC85021,SCOTT.CERVANTES@BAYER.EDU,3
132,2218112,"Carter, Lorraine",LXC64780,LORRAINE.CARTER@BAYER.EDU,2
133,9058767,"Campbell, Charles",CXC08121,CHARLES.CAMPBELL@BAYER.EDU,2
134,1441344,"Bryan, Bradley",BXB28023,BRADLEY.BRYAN@BAYER.EDU,3
135,7521527,"Brown, Kelsey Steven",KSB85997,KELSEY.BROWN@BAYER.EDU,2
136,9365638,"Brock, Lauren Mark",LMB95641,LAUREN.BROCK@BAYER.EDU,2
137,6035936,"Boyd, Victoria Kimberly",VKB66346,VICTORIA.BOYD@BAYER.EDU,2
138,2469694,"Benton, Michael",MXB67936,MICHAEL.BENTON@BAYER.EDU,3
139,5704583,"Bennett, Richard Jamie",RJB91830,RICHARD.BENNETT@BAYER.EDU,1
140,7482388,"Beck, David John",DJB29817,DAVID.BECK@BAYER.EDU,1
141,1837857,"Bauer, John",JXB40799,JOHN.BAUER@BAYER.EDU,1
142,8879507,"Bates, Nathan Stephanie",NSB43944,NATHAN.BATES@BAYER.EDU,3
143,1234567,"Barrera Jr., Woody",WXB12345,WOODY.BARRERA_JR@BAYER.EDU,1
144,3792268,"Baldwin, Lucas",LXB98047,LUCAS.BALDWIN@BAYER.EDU,1
145,7250041,"Bailey, Belinda Michael",BMB94857,BELINDA.BAILEY@BAYER.EDU,3
146,1067615,"Anderson, Lauren Billy",LBA53221,LAUREN.ANDERSON@BAYER.EDU,2
147,6426067,"Anderson, Daisy Michael",DMA58910,DAISY.ANDERSON@BAYER.EDU,2
148,2685279,"Allen, Christina",CXA22039,CHRISTINA.ALLEN@BAYER.EDU,1
149,6600559,"Adams, Amy Robert",ARA97741,AMY.ADAMS@BAYER.EDU,1
