,First Name,Last Name,SID,Homework 1,Homework 1 - Max Points,Homework 1 - Submission Time,Homework 2,Homework 2 - Max Points,Homework 2 - Submission Time,Homework 3,Homework 3 - Max Points,Homework 3 - Submission Time,Homework 4,Homework 4 - Max Points,Homework 4 - Submission Time,Homework 5,Homework 5 - Max Points,Homework 5 - Submission Time,Homework 6,Homework 6 - Max Points,Homework 6 - Submission Time,Homework 7,Homework 7 - Max Points,Homework 7 - Submission Time,Homework 8,Homework 8 - Max Points,Homework 8 - Submission Time,Homework 9,Homework 9 - Max Points,Homework 9 - Submission Time,Homework 10,Homework 10 - Max Points,Homework 10 - Submission Time,Exam 1,Exam 1 - Max Points,Exam 1 - Submission Time,Exam 2,Exam 2 - Max Points,Exam 2 - Submission Time,Exam 3,Exam 3 - Max Points,Exam 3 - Submission Time
11,Amy,Dunn,axd67070,72.0,80,2019-08-29 08:56:02,61,80,2019-09-05 08:56:02,50,80,2019-09-12 08:56:02,90,100,2019-09-19 08:56:02,47,70,2019-09-26 08:56:02,72,90,2019-10-03 08:56:02,43,50,2019-10-10 08:56:02,49,70,2019-10-17 08:56:02,48,60,2019-10-24 08:56:02,50,60,2019-10-31 08:56:02,93,100,2019-10-08 12:30:07,96,100,2019-11-08 12:30:07,86,100,2019-12-08 12:30:07
12,Ashlee,Foster,axf16145,79.0,80,2019-08-29 08:56:02,78,80,2019-09-05 08:56:02,74,80,2019-09-12 08:56:02,81,100,2019-09-19 08:56:02,63,70,2019-09-26 08:56:02,75,90,2019-10-03 08:56:02,38,50,2019-10-10 08:56:02,45,70,2019-10-17 08:56:02,41,60,2019-10-24 08:56:02,43,60,2019-10-31 08:56:02,73,100,2019-10-08 12:30:07,61,100,2019-11-08 12:30:07,74,100,2019-12-08 12:30:07
13,Aaron,Lester,axl60952,68.0,80,2019-08-29 08:56:02,74,80,2019-09-05 08:56:02,77,80,2019-09-12 08:56:02,89,100,2019-09-19 08:56:02,51,70,2019-09-26 08:56:02,87,90,2019-10-03 08:56:02,33,50,2019-10-10 08:56:02,48,70,2019-10-17 08:56:02,42,60,2019-10-24 08:56:02,41,60,2019-10-31 08:56:02,79,100,2019-10-08 12:30:07,63,100,2019-11-08 12:30:07,68,100,2019-12-08 12:30:07
14,Anthony,Miller,axm26865,77.0,80,2019-08-29 08:56:02,53,80,2019-09-05 08:56:02,65,80,2019-09-12 08:56:02,74,100,2019-09-19 08:56:02,66,70,2019-09-26 08:56:02,78,90,2019-10-03 08:56:02,30,50,2019-10-10 08:56:02,55,70,2019-10-17 08:56:02,53,60,2019-10-24 08:56:02,41,60,2019-10-31 08:56:02,73,100,2019-10-08 12:30:07,68,100,2019-11-08 12:30:07,93,100,2019-12-08 12:30:07
15,Angela,Warren,axw80146,54.0,80,2019-08-29 08:56:02,62,80,2019-09-05 08:56:02,59,80,2019-09-12 08:56:02,77,100,2019-09-19 08:56:02,59,70,2019-09-26 08:56:02,85,90,2019-10-03 08:56:02,44,50,2019-10-10 08:56:02,55,70,2019-10-17 08:56:02,58,60,2019-10-24 08:56:02,48,60,2019-10-31 08:56:02,70,100,2019-10-08 12:30:07,84,100,2019-11-08 12:30:07,78,100,2019-12-08 12:30:07
16,Brandon,Flores,bcf26283,62.0,80,2019-08-29 08:56:02,52,80,2019-09-05 08:56:02,77,80,2019-09-12 08:56:02,87,100,2019-09-19 08:56:02,45,70,2019-09-26 08:56:02,71,90,2019-10-03 08:56:02,40,50,2019-10-10 08:56:02,45,70,2019-10-17 08:56:02,45,60,2019-10-24 08:56:02,54,60,2019-10-31 08:56:02,96,100,2019-10-08 12:30:07,93,100,2019-11-08 12:30:07,65,100,2019-12-08 12:30:07
17,Brett,Hunt,bch39598,72.0,80,2019-08-29 08:56:02,72,80,2019-09-05 08:56:02,57,80,2019-09-12 08:56:02,77,100,2019-09-19 08:56:02,62,70,2019-09-26 08:56:02,78,90,2019-10-03 08:56:02,43,50,2019-10-10 08:56:02,42,70,2019-10-17 08:56:02,43,60,2019-10-24 08:56:02,58,60,2019-10-31 08:56:02,85,100,2019-10-08 12:30:07,72,100,2019-11-08 12:30:07,89,100,2019-12-08 12:30:07
18,Brooke,Powers,bdp78944,80.0,80,2019-08-29 08:56:02,60,80,2019-09-05 08:56:02,53,80,2019-09-12 08:56:02,66,100,2019-09-19 08:56:02,46,70,2019-09-26 08:56:02,85,90,2019-10-03 08:56:02,45,50,2019-10-10 08:56:02,54,70,2019-10-17 08:56:02,44,60,2019-10-24 08:56:02,57,60,2019-10-31 08:56:02,77,100,2019-10-08 12:30:07,87,100,2019-11-08 12:30:07,90,100,2019-12-08 12:30:07
19,Brian,Myers,bgm86325,75.0,80,2019-08-29 08:56:02,49,80,2019-09-05 08:56:02,53,80,2019-09-12 08:56:02,65,100,2019-09-19 08:56:02,66,70,2019-09-26 08:56:02,69,90,2019-10-03 08:56:02,49,50,2019-10-10 08:56:02,47,70,2019-10-17 08:56:02,44,60,2019-10-24 08:56:02,53,60,2019-10-31 08:56:02,74,100,2019-10-08 12:30:07,60,100,2019-11-08 12:30:07,92,100,2019-12-08 12:30:07
20,Benjamin,Graham,bjg14618,64.0,80,2019-08-29 08:56:02,52,80,2019-09-05 08:56:02,58,80,2019-09-12 08:56:02,87,100,2019-09-19 08:56:02,60,70,2019-09-26 08:56:02,89,90,2019-10-03 08:56:02,41,50,2019-10-10 08:56:02,45,70,2019-10-17 08:56:02,50,60,2019-10-24 08:56:02,37,60,2019-10-31 08:56:02,81,100,2019-10-08 12:30:07,73,100,2019-11-08 12:30:07,81,100,2019-12-08 12:30:07
21,Brandy,Reilly,bkr19538,70.0,80,2019-08-29 08:56:02,80,80,2019-09-05 08:56:02,55,80,2019-09-12 08:56:02,84,100,2019-09-19 08:56:02,42,70,2019-09-26 08:56:02,79,90,2019-10-03 08:56:02,44,50,2019-10-10 08:56:02,60,70,2019-10-17 08:56:02,45,60,2019-10-24 08:56:02,52,60,2019-10-31 08:56:02,69,100,2019-10-08 12:30:07,67,100,2019-11-08 12:30:07,95,100,2019-12-08 12:30:07
22,Belinda,Bailey,bmb94857,60.0,80,2019-08-29 08:56:02,74,80,2019-09-05 08:56:02,55,80,2019-09-12 08:56:02,76,100,2019-09-19 08:56:02,64,70,2019-09-26 08:56:02,83,90,2019-10-03 08:56:02,44,50,2019-10-10 08:56:02,45,70,2019-10-17 08:56:02,50,60,2019-10-24 08:56:02,58,60,2019-10-31 08:56:02,83,100,2019-10-08 12:30:07,95,100,2019-11-08 12:30:07,87,100,2019-12-08 12:30:07
23,Beth,Sanders,bms82804,59.0,80,2019-08-29 08:56:02,67,80,2019-09-05 08:56:02,53,80,2019-09-12 08:56:02,85,100,2019-09-19 08:56:02,68,70,2019-09-26 08:56:02,77,90,2019-10-03 08:56:02,41,50,2019-10-10 08:56:02,52,70,2019-10-17 08:56:02,50,60,2019-10-24 08:56:02,42,60,2019-10-31 08:56:02,73,100,2019-10-08 12:30:07,71,100,2019-11-08 12:30:07,67,100,2019-12-08 12:30:07
24,Bradley,Bryan,bxb28023,55.0,80,2019-08-29 08:56:02,65,80,2019-09-05 08:56:02,63,80,2019-09-12 08:56:02,86,100,2019-09-19 08:56:02,68,70,2019-09-26 08:56:02,86,90,2019-10-03 08:56:02,44,50,2019-10-10 08:56:02,69,70,2019-10-17 08:56:02,48,60,2019-10-24 08:56:02,47,60,2019-10-31 08:56:02,96,100,2019-10-08 12:30:07,82,100,2019-11-08 12:30:07,66,100,2019-12-08 12:30:07
25,Brett,Miranda,bxm17365,74.0,80,2019-08-29 08:56:02,63,80,2019-09-05 08:56:02,53,80,2019-09-12 08:56:02,71,100,2019-09-19 08:56:02,61,70,2019-09-26 08:56:02,62,90,2019-10-03 08:56:02,43,50,2019-10-10 08:56:02,51,70,2019-10-17 08:56:02,54,60,2019-10-24 08:56:02,51,60,2019-10-31 08:56:02,82,100,2019-10-08 12:30:07,94,100,2019-11-08 12:30:07,95,100,2019-12-08 12:30:07
26,Bailey,Reyes,bxr62103,53.0,80,2019-08-29 08:56:02,50,80,2019-09-05 08:56:02,55,80,2019-09-12 08:56:02,97,100,2019-09-19 08:56:02,57,70,2019-09-26 08:56:02,75,90,2019-10-03 08:56:02,39,50,2019-10-10 08:56:02,64,70,2019-10-17 08:56:02,41,60,2019-10-24 08:56:02,46,60,2019-10-31 08:56:02,90,100,2019-10-08 12:30:07,72,100,2019-11-08 12:30:07,71,100,2019-12-08 12:30:07
27,Billy,Schwartz,bxs54690,56.0,80,2019-08-29 08:56:02,52,80,2019-09-05 08:56:02,56,80,2019-09-12 08:56:02,89,100,2019-09-19 08:56:02,46,70,2019-09-26 08:56:02,66,90,2019-10-03 08:56:02,33,50,2019-10-10 08:56:02,51,70,2019-10-17 08:56:02,48,60,2019-10-24 08:56:02,52,60,2019-10-31 08:56:02,89,100,2019-10-08 12:30:07,62,100,2019-11-08 12:30:07,93,100,2019-12-08 12:30:07
28,Brandon,Thomas,bxt62105,80.0,80,2019-08-29 08:56:02,49,80,2019-09-05 08:56:02,53,80,2019-09-12 08:56:02,77,100,2019-09-19 08:56:02,46,70,2019-09-26 08:56:02,86,90,2019-10-03 08:56:02,33,50,2019-10-10 08:56:02,53,70,2019-10-17 08:56:02,37,60,2019-10-24 08:56:02,51,60,2019-10-31 08:56:02,86,100,2019-10-08 12:30:07,72,100,2019-11-08 12:30:07,65,100,2019-12-08 12:30:07
29,Crystal,Holt,chh70562,68.0,80,2019-08-29 08:56:02,51,80,2019-09-05 08:56:02,64,80,2019-09-12 08:56:02,91,100,2019-09-19 08:56:02,52,70,2019-09-26 08:56:02,67,90,2019-10-03 08:56:02,37,50,2019-10-10 08:56:02,43,70,2019-10-17 08:56:02,45,60,2019-10-24 08:56:02,39,60,2019-10-31 08:56:02,63,100,2019-10-08 12:30:07,97,100,2019-11-08 12:30:07,73,100,2019-12-08 12:30:07
30,Crystal,Smith,cjs43553,63.0,80,2019-08-29 08:56:02,80,80,2019-09-05 08:56:02,59,80,2019-09-12 08:56:02,90,100,2019-09-19 08:56:02,48,70,2019-09-26 08:56:02,66,90,2019-10-03 08:56:02,48,50,2019-10-10 08:56:02,64,70,2019-10-17 08:56:02,52,60,2019-10-24 08:56:02,58,60,2019-10-31 08:56:02,85,100,2019-10-08 12:30:07,88,100,2019-11-08 12:30:07,60,100,2019-12-08 12:30:07
31,Christina,Allen,cxa22039,63.0,80,2019-08-29 08:56:02,78,80,2019-09-05 08:56:02,76,80,2019-09-12 08:56:02,68,100,2019-09-19 08:56:02,53,70,2019-09-26 08:56:02,83,90,2019-10-03 08:56:02,44,50,2019-10-10 08:56:02,69,70,2019-10-17 08:56:02,39,60,2019-10-24 08:56:02,43,60,2019-10-31 08:56:02,60,100,2019-10-08 12:30:07,70,100,2019-11-08 12:30:07,67,100,2019-12-08 12:30:07
32,Charles,Campbell,cxc08121,60.0,80,2019-08-29 08:56:02,61,80,2019-09-05 08:56:02,63,80,2019-09-12 08:56:02,81,100,2019-09-19 08:56:02,50,70,2019-09-26 08:56:02,75,90,2019-10-03 08:56:02,44,50,2019-10-10 08:56:02,57,70,2019-10-17 08:56:02,47,60,2019-10-24 08:56:02,50,60,2019-10-31 08:56:02,66,100,2019-10-08 12:30:07,96,100,2019-11-08 12:30:07,100,100,2019-12-08 12:30:07
33,Cameron,Dennis,cxd92501,75.0,80,2019-08-29 08:56:02,73,80,2019-09-05 08:56:02,59,80,2019-09-12 08:56:02,61,100,2019-09-19 08:56:02,43,70,2019-09-26 08:56:02,67,90,2019-10-03 08:56:02,36,50,2019-10-10 08:56:02,59,70,2019-10-17 08:56:02,51,60,2019-10-24 08:56:02,54,60,2019-10-31 08:56:02,88,100,2019-10-08 12:30:07,66,100,2019-11-08 12:30:07,68,100,2019-12-08 12:30:07
34,Cynthia,Guzman,cxg21963,63.0,80,2019-08-29 08:56:02,68,80,2019-09-05 08:56:02,48,80,2019-09-12 08:56:02,67,100,2019-09-19 08:56:02,55,70,2019-09-26 08:56:02,54,90,2019-10-03 08:56:02,38,50,2019-10-10 08:56:02,51,70,2019-10-17 08:56:02,57,60,2019-10-24 08:56:02,47,60,2019-10-31 08:56:02,64,100,2019-10-08 12:30:07,74,100,2019-11-08 12:30:07,66,100,2019-12-08 12:30:07
35,Colleen,Hart,cxh80084,48.0,80,2019-08-29 08:56:02,70,80,2019-09-05 08:56:02,59,80,2019-09-12 08:56:02,81,100,2019-09-19 08:56:02,46,70,2019-09-26 08:56:02,62,90,2019-10-03 08:56:02,38,50,2019-10-10 08:56:02,52,70,2019-10-17 08:56:02,45,60,2019-10-24 08:56:02,59,60,2019-10-31 08:56:02,68,100,2019-10-08 12:30:07,72,100,2019-11-08 12:30:07,62,100,2019-12-08 12:30:07
36,Cindy,Nguyen,cxn83965,51.0,80,2019-08-29 08:56:02,59,80,2019-09-05 08:56:02,58,80,2019-09-12 08:56:02,63,100,2019-09-19 08:56:02,52,70,2019-09-26 08:56:02,58,90,2019-10-03 08:56:02,50,50,2019-10-10 08:56:02,66,70,2019-10-17 08:56:02,46,60,2019-10-24 08:56:02,41,60,2019-10-31 08:56:02,82,100,2019-10-08 12:30:07,68,100,2019-11-08 12:30:07,82,100,2019-12-08 12:30:07
37,Carol,Reyes,cxr98775,75.0,80,2019-08-29 08:56:02,80,80,2019-09-05 08:56:02,66,80,2019-09-12 08:56:02,62,100,2019-09-19 08:56:02,60,70,2019-09-26 08:56:02,66,90,2019-10-03 08:56:02,37,50,2019-10-10 08:56:02,65,70,2019-10-17 08:56:02,44,60,2019-10-24 08:56:02,51,60,2019-10-31 08:56:02,99,100,2019-10-08 12:30:07,91,100,2019-11-08 12:30:07,90,100,2019-12-08 12:30:07
38,Carol,Watkins,cxw68726,64.0,80,2019-08-29 08:56:02,76,80,2019-09-05 08:56:02,69,80,2019-09-12 08:56:02,88,100,2019-09-19 08:56:02,60,70,2019-09-26 08:56:02,66,90,2019-10-03 08:56:02,36,50,2019-10-10 08:56:02,51,70,2019-10-17 08:56:02,55,60,2019-10-24 08:56:02,57,60,2019-10-31 08:56:02,62,100,2019-10-08 12:30:07,92,100,2019-11-08 12:30:07,98,100,2019-12-08 12:30:07
39,Courtney,Wolf,cxw91147,80.0,80,2019-08-29 08:56:02,79,80,2019-09-05 08:56:02,66,80,2019-09-12 08:56:02,63,100,2019-09-19 08:56:02,56,70,2019-09-26 08:56:02,71,90,2019-10-03 08:56:02,48,50,2019-10-10 08:56:02,43,70,2019-10-17 08:56:02,52,60,2019-10-24 08:56:02,43,60,2019-10-31 08:56:02,88,100,2019-10-08 12:30:07,86,100,2019-11-08 12:30:07,62,100,2019-12-08 12:30:07
40,Daniel,Jones,dcj14616,61.0,80,2019-08-29 08:56:02,49,80,2019-09-05 08:56:02,78,80,2019-09-12 08:56:02,98,100,2019-09-19 08:56:02,56,70,2019-09-26 08:56:02,85,90,2019-10-03 08:56:02,32,50,2019-10-10 08:56:02,42,70,2019-10-17 08:56:02,40,60,2019-10-24 08:56:02,58,60,2019-10-31 08:56:02,79,100,2019-10-08 12:30:07,68,100,2019-11-08 12:30:07,61,100,2019-12-08 12:30:07
41,David,Beck,djb29817,62.0,80,2019-08-29 08:56:02,79,80,2019-09-05 08:56:02,48,80,2019-09-12 08:56:02,61,100,2019-09-19 08:56:02,43,70,2019-09-26 08:56:02,59,90,2019-10-03 08:56:02,42,50,2019-10-10 08:56:02,51,70,2019-10-17 08:56:02,55,60,2019-10-24 08:56:02,39,60,2019-10-31 08:56:02,91,100,2019-10-08 12:30:07,74,100,2019-11-08 12:30:07,65,100,2019-12-08 12:30:07
42,Desiree,Delgado,djd31335,69.0,80,2019-08-29 08:56:02,74,80,2019-09-05 08:56:02,74,80,2019-09-12 08:56:02,64,100,2019-09-19 08:56:02,60,70,2019-09-26 08:56:02,55,90,2019-10-03 08:56:02,31,50,2019-10-10 08:56:02,55,70,2019-10-17 08:56:02,55,60,2019-10-24 08:56:02,51,60,2019-10-31 08:56:02,88,100,2019-10-08 12:30:07,69,100,2019-11-08 12:30:07,78,100,2019-12-08 12:30:07
43,Daisy,Anderson,dma58910,64.0,80,2019-08-29 08:56:02,52,80,2019-09-05 08:56:02,57,80,2019-09-12 08:56:02,84,100,2019-09-19 08:56:02,54,70,2019-09-26 08:56:02,63,90,2019-10-03 08:56:02,34,50,2019-10-10 08:56:02,45,70,2019-10-17 08:56:02,38,60,2019-10-24 08:56:02,45,60,2019-10-31 08:56:02,92,100,2019-10-08 12:30:07,66,100,2019-11-08 12:30:07,94,100,2019-12-08 12:30:07
44,Desiree,Garcia,dsg54218,68.0,80,2019-08-29 08:56:02,78,80,2019-09-05 08:56:02,77,80,2019-09-12 08:56:02,95,100,2019-09-19 08:56:02,60,70,2019-09-26 08:56:02,73,90,2019-10-03 08:56:02,35,50,2019-10-10 08:56:02,47,70,2019-10-17 08:56:02,45,60,2019-10-24 08:56:02,55,60,2019-10-31 08:56:02,81,100,2019-10-08 12:30:07,99,100,2019-11-08 12:30:07,70,100,2019-12-08 12:30:07
45,Danielle,Lee,dsl24347,69.0,80,2019-08-29 08:56:02,51,80,2019-09-05 08:56:02,70,80,2019-09-12 08:56:02,96,100,2019-09-19 08:56:02,51,70,2019-09-26 08:56:02,77,90,2019-10-03 08:56:02,37,50,2019-10-10 08:56:02,52,70,2019-10-17 08:56:02,49,60,2019-10-24 08:56:02,57,60,2019-10-31 08:56:02,62,100,2019-10-08 12:30:07,70,100,2019-11-08 12:30:07,90,100,2019-12-08 12:30:07
46,Dylan,Johnson,dxj78877,61.0,80,2019-08-29 08:56:02,48,80,2019-09-05 08:56:02,59,80,2019-09-12 08:56:02,71,100,2019-09-19 08:56:02,42,70,2019-09-26 08:56:02,75,90,2019-10-03 08:56:02,50,50,2019-10-10 08:56:02,49,70,2019-10-17 08:56:02,36,60,2019-10-24 08:56:02,50,60,2019-10-31 08:56:02,72,100,2019-10-08 12:30:07,64,100,2019-11-08 12:30:07,99,100,2019-12-08 12:30:07
47,Donna,Nguyen,dxn21936,52.0,80,2019-08-29 08:56:02,78,80,2019-09-05 08:56:02,59,80,2019-09-12 08:56:02,76,100,2019-09-19 08:56:02,55,70,2019-09-26 08:56:02,58,90,2019-10-03 08:56:02,32,50,2019-10-10 08:56:02,65,70,2019-10-17 08:56:02,48,60,2019-10-24 08:56:02,46,60,2019-10-31 08:56:02,70,100,2019-10-08 12:30:07,87,100,2019-11-08 12:30:07,64,100,2019-12-08 12:30:07
48,Douglas,Payne,dxp49123,48.0,80,2019-08-29 08:56:02,55,80,2019-09-05 08:56:02,49,80,2019-09-12 08:56:02,62,100,2019-09-19 08:56:02,46,70,2019-09-26 08:56:02,90,90,2019-10-03 08:56:02,35,50,2019-10-10 08:56:02,62,70,2019-10-17 08:56:02,51,60,2019-10-24 08:56:02,51,60,2019-10-31 08:56:02,74,100,2019-10-08 12:30:07,71,100,2019-11-08 12:30:07,96,100,2019-12-08 12:30:07
49,Emily,Houston,edh14938,54.0,80,2019-08-29 08:56:02,60,80,2019-09-05 08:56:02,56,80,2019-09-12 08:56:02,71,100,2019-09-19 08:56:02,56,70,2019-09-26 08:56:02,71,90,2019-10-03 08:56:02,46,50,2019-10-10 08:56:02,55,70,2019-10-17 08:56:02,52,60,2019-10-24 08:56:02,40,60,2019-10-31 08:56:02,100,100,2019-10-08 12:30:07,78,100,2019-11-08 12:30:07,87,100,2019-12-08 12:30:07
50,Emily,Dudley,eed42850,53.0,80,2019-08-29 08:56:02,80,80,2019-09-05 08:56:02,62,80,2019-09-12 08:56:02,93,100,2019-09-19 08:56:02,70,70,2019-09-26 08:56:02,62,90,2019-10-03 08:56:02,40,50,2019-10-10 08:56:02,62,70,2019-10-17 08:56:02,37,60,2019-10-24 08:56:02,37,60,2019-10-31 08:56:02,96,100,2019-10-08 12:30:07,73,100,2019-11-08 12:30:07,76,100,2019-12-08 12:30:07
51,Erin,Duffy,exd72538,66.0,80,2019-08-29 08:56:02,54,80,2019-09-05 08:56:02,50,80,2019-09-12 08:56:02,65,100,2019-09-19 08:56:02,56,70,2019-09-26 08:56:02,65,90,2019-10-03 08:56:02,35,50,2019-10-10 08:56:02,46,70,2019-10-17 08:56:02,46,60,2019-10-24 08:56:02,59,60,2019-10-31 08:56:02,85,100,2019-10-08 12:30:07,92,100,2019-11-08 12:30:07,88,100,2019-12-08 12:30:07
52,Felicia,Simpson,fxs77894,59.0,80,2019-08-29 08:56:02,66,80,2019-09-05 08:56:02,77,80,2019-09-12 08:56:02,73,100,2019-09-19 08:56:02,60,70,2019-09-26 08:56:02,90,90,2019-10-03 08:56:02,36,50,2019-10-10 08:56:02,63,70,2019-10-17 08:56:02,53,60,2019-10-24 08:56:02,41,60,2019-10-31 08:56:02,63,100,2019-10-08 12:30:07,90,100,2019-11-08 12:30:07,99,100,2019-12-08 12:30:07
53,Holly,Watson,hsw06874,66.0,80,2019-08-29 08:56:02,51,80,2019-09-05 08:56:02,66,80,2019-09-12 08:56:02,79,100,2019-09-19 08:56:02,53,70,2019-09-26 08:56:02,55,90,2019-10-03 08:56:02,35,50,2019-10-10 08:56:02,61,70,2019-10-17 08:56:02,49,60,2019-10-24 08:56:02,49,60,2019-10-31 08:56:02,81,100,2019-10-08 12:30:07,100,100,2019-11-08 12:30:07,90,100,2019-12-08 12:30:07
