,Last Name,First Name,Email,Grade
112,Faulkner,Katelyn,katelyn.faulkner@bayer.edu,12
113,Evans,Patricia,patricia.evans@bayer.edu,9
114,Elliott,Richard,richard.elliott@bayer.edu,13
115,Edwards,Timothy,timothy.edwards@bayer.edu,14
116,Edwards,Nicole,nicole.edwards@bayer.edu,12
117,Dunn,Amy,amy.dunn@bayer.edu,12
118,Dunlap,Angela,angela.dunlap@bayer.edu,11
119,Duffy,Erin,erin.duffy@bayer.edu,12
120,Dudley,Emily,emily.dudley@bayer.edu,9
121,Douglas,Robert,robert.douglas@bayer.edu,9
122,Dennis,Rachel,rachel.dennis@bayer.edu,6
123,Dennis,Cameron,cameron.dennis@bayer.edu,6
124,Delgado,Desiree,desiree.delgado@bayer.edu,7
125,Davidson,Luke,luke.davidson@bayer.edu,14
126,Daniels,Amber,amber.daniels@bayer.edu,15
127,Daniel,William,william.daniel@bayer.edu,10
128,Curry,Alec,alec.curry@bayer.edu,9
129,Cooper,Adam,adam.cooper@bayer.edu,10
130,Clark,Jill,jill.clark@bayer.edu,6
131,Cervantes,Scott,scott.cervantes@bayer.edu,8
132,Carter,Lorraine,lorraine.carter@bayer.edu,13
133,Campbell,Charles,charles.campbell@bayer.edu,15
134,Bryan,Bradley,bradley.bryan@bayer.edu,12
135,Brown,Kelsey,kelsey.brown@bayer.edu,15
136,Brock,Lauren,lauren.brock@bayer.edu,14
137,Boyd,Victoria,victoria.boyd@bayer.edu,8
138,Benton,Michael,michael.benton@bayer.edu,6
139,Bennett,Richard,richard.bennett@bayer.edu,6
140,Beck,David,david.beck@bayer.edu,7
141,Bauer,John,john.bauer@bayer.edu,7
142,Bates,Nathan,nathan.bates@bayer.edu,12
143,Barrera,Woody,woody.barrera_jr@bayer.edu,10
144,Baldwin,Lucas,lucas.baldwin@bayer.edu,10
145,Bailey,Belinda,belinda.bailey@bayer.edu,10
146,Anderson,Daisy,daisy.anderson@bayer.edu,6
147,Anderson,Lauren,lauren.anderson@bayer.edu,6
148,Allen,Christina,christina.allen@bayer.edu,12
149,Adams,Amy,amy.adams@bayer.edu,11
